copied_text,timestamp,speaker,words,tags
0:01,0:01,Beau Newsome, Okay.,
0:03,0:03,Beau Newsome, So you're a little record button up there.,
0:05,0:05,Jamie Hill, yeah says he's going.,
0:07,0:07,Beau Newsome, Alright we're recording low newsome and i'm here with the University of Idaho library archives and special collections department.,
0:15,0:15,Beau Newsome," Here, with Jamie.",
0:18,0:18,Beau Newsome,"Jamie and I worked together at the Howard Hughes video.",
0:22,0:22,Beau Newsome,"And this is for Howard Hughes video mainstream video co op, this is an oral History project that the ui libraries doing so Jamie if you wouldn't mind reiterating your name and just do a little brief description of how you came about.",
0:39,0:39,Beau Newsome, To work at the video store.,
0:41,0:41,Jamie Hill," store, so my name is Jamie Hill and I was a long time Howard Hughes Member and I think I signed up at Howard Hughes the store on fifth street when I was in college.",
0:57,0:57,Jamie Hill, And was a pretty loyal renter and then I started both talk to me and so working at the store and taking over as him for manager when he transitioned out which.,
1:09,1:09,Jamie Hill," was a really weird time for the store, so I kind of was doing my full time job and that full time job and getting to know the management and their styles and then was really behind is the push to turn the video store into a cooperative.",
1:26,1:26,Jamie Hill, and which involves lots of conversations.,
1:28,1:28,With.,,
1:30,1:30,Jamie Hill," Current owners new owners, all of the creation of the 501 C three so I was around for all of that.",
1:36,1:36,Jamie Hill, i'm on the paperwork for the state or creating that cooperative board and everything so.,
1:43,1:43,Beau Newsome, well.,
1:44,1:44,Jamie Hill, Okay yeah little bit of all of it.,
1:46,1:46,Beau Newsome, yeah just so little bits and pieces of it all.,
1:50,1:50,Beau Newsome, yeah cuz I kind of.,
1:52,1:52,Beau Newsome, missed out on a lot of this co op stuff so that's why we also have monique lillard.,
1:59,1:59,Beau Newsome," Doing interviews as well, so cuz she was more on the the core of it yeah.",
2:05,2:05,Jamie Hill, Right yeah he's he was one of the first people and assign on that make sure that happen.,
2:11,2:11,Beau Newsome, So what brought you to Moscow was a ui.,
2:15,2:15,Jamie Hill, yeah came up here in 2005 to go to college born and raised and all there was no question that there was going to be anything else.,
2:24,2:24,Beau Newsome, alumni family.,
2:25,2:25,Jamie Hill, yeah yep.,
2:27,2:27,Beau Newsome, Sorry southern Idaho.,
2:29,2:29,Jamie Hill, Southern Idaho.,
2:30,2:30,Jamie Hill, four hours.,
2:32,2:32,Jamie Hill," So I been coming up here, since I was you, I think I gave my first campus tour in about four.",
2:37,2:37,Jamie Hill, Oh.,
2:38,2:38,Beau Newsome, I love to hear when southern Idaho people come up it's like they grew up knowing about the vandals not.,
2:45,2:45,Beau Newsome, Other colleges you.,
2:47,2:47,Jamie Hill," know you watch the news, then you go, why are you talking about them.",
2:51,2:51,Right.,,
2:52,2:52,Beau Newsome," So then, when you got to ui.",
2:55,2:55,Beau Newsome, Did you.,
2:58,2:58,Beau Newsome, I guess remove strictly the video our to use video or did you shop around or.,
3:04,3:04,Jamie Hill," uh yeah I mean we had at the time we have Hastings and how are you use and I kind of stumbled into Howard Hughes one day and was like Oh, this is exactly like my hometown video store and it It made me feel like home except they have a bigger collection and.",
3:22,3:22,Jamie Hill, Even then.,
3:23,3:23,Jamie Hill," yeah okay my hometown store probably had like 500 titles, maybe.",
3:28,3:28,Jamie Hill, So um.,
3:30,3:30,Beau Newsome," Do you remember the name of it, video store.",
3:32,3:32,Jamie Hill, it's showtime.,
3:34,3:34,Jamie Hill, showtime video.,
3:36,3:36,Beau Newsome, showtime video that's cool.,
3:37,3:37,yeah.,,
3:39,3:39,Jamie Hill," yeah so um I know I, it was my freshman year I don't exactly remember when, but I think I just kind of wandered in and didn't really leave after that.",
3:51,3:51,Beau Newsome," No word of mouth just kind of like, and this was the fifth street address right.",
3:56,3:56,Jamie Hill, yeah yeah when this free to drive.,
3:58,3:58,Jamie Hill," Or, nobody had.",
3:59,3:59,Jamie Hill," Nobody told me about it, I just wandered in and then promptly went back home and told everybody about it, and I know I was one of those who, like everyone in their mom was using my account number.",
4:12,4:12,Beau Newsome," Oh, really.",
4:13,4:13,Jamie Hill, yeah.,
4:14,4:14,Beau Newsome, Do you have your account number.,
4:16,4:16,Jamie Hill," I it was something really low like somebody had died or something, and so my account, I think it was 40.",
4:23,4:23,Beau Newsome, No way.,
4:23,4:23,Jamie Hill, And I was like how do I have a double digit number.,
4:27,4:27,Jamie Hill," But they were like Oh, are we using them.",
4:29,4:29,Beau Newsome, yeah I know they they reset at one point because we're mine was a five digit number.,
4:35,4:35,Beau Newsome," yeah there was people just walking in new customers, they were like oh we're 35 now or something like.",
4:40,4:40,Jamie Hill," yeah yeah it was really weird and then, when we.",
4:45,4:45,Jamie Hill," I left after college and then, when I came back, I was like I have no idea what my number is so here's my phone number which hasn't changed since I was 15.",
4:54,4:54,Jamie Hill, Oh.,
4:54,4:54,Jamie Hill," yeah i'll use this and it wasn't until working at the store that I looked it up, and I was like oh yeah.",
5:01,5:01,Okay.,,
5:03,5:03,Beau Newsome," Oh, so you you've graduated and then moved away.",
5:06,5:06,Jamie Hill, For a little bit huh yep yep I was gone for about three and a half years and then came back.,
5:13,5:13,Beau Newsome," Okay, what.",
5:16,5:16,Beau Newsome," What kind of made it unique, if you remember just some of the.",
5:21,5:21,Jamie Hill," I think it was definitely the selection made it unique and like I said I mean it felt like home for me, and so I I was not the shopper who was like well i've never seen one of these, this is totally different and, for me, I was like oh good a video store.",
5:37,5:37,Jamie Hill," And I also really loved I a lot of the classes, I took were.",
5:42,5:42,Jamie Hill, Film classes or English classes and so.,
5:45,5:45,Jamie Hill," Everything I needed for those classes was there, so you know the weird avant garde cinema and the new are and all of the European cinema was all there and it and if it wasn't usually somebody was willing to make sure it got there.",
6:00,6:00,Beau Newsome," yeah yeah we've talked about that a little bit like me and some other workers there and stuff like took pride and if we didn't have it we try our hardest to get it, you know.",
6:11,6:11,Beau Newsome," yeah even if one person asked for it, you know.",
6:13,6:13,Jamie Hill, that's enough.,
6:15,6:15,yeah.,,
6:18,6:18,Beau Newsome, So did you.,
6:21,6:21,Beau Newsome, So you notice probably some changes over the years of the video store.,
6:26,6:26,Beau Newsome, As a.,
6:28,6:28,Beau Newsome, As a customer did it change a whole lot that you noticed.,
6:33,6:33,Jamie Hill," I think, as a customer and.",
6:38,6:38,Jamie Hill, It felt pretty consistent to me and I do remember like when the five for five for five started five movies five bucks five days like that was.,
6:48,6:48,Jamie Hill, Something that was really noticeable and my brain automatically was like this is genius marketing and he should be doing more of this This is great yeah.,
6:56,6:56,Jamie Hill, um.,
6:57,6:57,Jamie Hill," But other than that, I mean customer wise I.",
7:00,7:00,Jamie Hill, It was it was always the same solid video store yeah.,
7:05,7:05,Beau Newsome," yeah I think we there's so many different iterations of deals, and it was like dollar tuesday's dollar.",
7:12,7:12,Beau Newsome, raise dollar Tuesday and Thursdays and then.,
7:15,7:15,Beau Newsome, Then it was five for five for the longest time.,
7:18,7:18,Beau Newsome," yeah, then I think when maybe you started working there.",
7:23,7:23,Beau Newsome, We had gone to.,
7:25,7:25,Jamie Hill, buy it was has been.,
7:26,7:26,Jamie Hill, Five movies for $7 for seven days.,
7:29,7:29,Beau Newsome, yeah yeah.,
7:30,7:30,Jamie Hill, which was like didn't roll off the tongue.,
7:34,7:34,Jamie Hill, No.,
7:35,7:35,Beau Newsome, I wanted it to be 5755 movies.,
7:39,7:39,Beau Newsome, $7 five days yeah yeah.,
7:42,7:42,Beau Newsome, yeah we also thought that the seven days would help people remember like when they get movies kind of thing.,
7:49,7:49,Jamie Hill, It was really nice to hand movies to people and be like you have a day.,
7:53,7:53,Beau Newsome, Right bring him back this time.,
7:56,7:56,Beau Newsome, In one week yeah.,
7:57,7:57,Beau Newsome, yeah instead of doing the five day mass or they're like okay.,
8:01,8:01,Jamie Hill, Does that does that mean to us today count.,
8:03,8:03,Beau Newsome, yeah yeah so that was a little bit easier.,
8:09,8:09,Beau Newsome, And do you remember as a customer the store changing from the fifth street to Main Street.,
8:16,8:16,Jamie Hill, I don't I think.,
8:19,8:19,Jamie Hill," It either happened, like my senior year while I was student teaching or while I was gone, but when I came back to my school, it was on Main Street.",
8:28,8:28,Okay.,,
8:30,8:30,Beau Newsome," And how shortly after you came back, did you start working at kenworthy.",
8:34,8:34,Jamie Hill," um I was in town for about six months, and then I started working at the Kennedy so I started there in March of 2013.",
8:46,8:46,Okay.,,
8:50,8:50,Jamie Hill, yep.,
8:50,8:50,Beau Newsome, And you have you always known about the team we've we've talked about the kenworthy a lot on this these interviews and stuff but.,
8:57,8:57,Beau Newsome, Pretty you.,
8:58,8:58,Beau Newsome, Know it's just a local well I guess you can explain it a little bit better what can we.,
9:02,9:02,Jamie Hill, do that.,
9:03,9:03,Jamie Hill," The kenworthy is a nonprofit performing arts Center and we show movies, we do live theater we do.",
9:10,9:10,Jamie Hill, streamed content from London and New York we basically provide high quality arts entertainment that you can't find anywhere else on the loose.,
9:18,9:18,Jamie Hill," So I I had been to the camera, the number of times in college at that time they were only open one or two days a week, and so I had been to a ton of wes Anderson movies i've been to a lot of foreign films, with the kenworthy for extra credit.",
9:34,9:34,Jamie Hill," i've been to probably three concerts there and then by the time I started in 2013 we were fully open a solid four days a week, sometimes up to seven and now it's 2021 and we are open consistently, seven days a week, not counting COPA.",
9:50,9:50,Beau Newsome, yeah okay yeah I always thought the kenworthy in the video store we're just need.,
9:57,9:57,Beau Newsome, stores to have close to each other.,
9:59,9:59,Beau Newsome, yeah and especially.,
10:01,10:01,Beau Newsome, You know.,
10:01,10:01,Beau Newsome, few doors down basically.,
10:04,10:04,Jamie Hill," And I know that can where they always appreciated that relationship, because we could you know run down the street, if something happened to our movie that we were showing or.",
10:14,10:14,Jamie Hill," There was a point where our projector decided to stop working and we needed to do something else for the weekend, and so we just ran down the street and said, what can we show for free, this weekend and.",
10:24,10:24,Jamie Hill, We were always able to find something you know if we had people who ran to the theater they'd say I really want to show the goonies but I don't have a copy of a copy and we'd be like yep.,
10:33,10:33,Beau Newsome, We do.,
10:33,10:33,A minute.,,
10:36,10:36,Beau Newsome," There we have a whole we have about 35,000 titles, we can choose.",
10:40,10:40,Jamie Hill, yeah yeah yeah and I know i'm pat and I talked about that a lot to kind of symbiotic relationship of having like we we could promote the the video store and did on our marketing so.,
10:57,10:57,Jamie Hill," Like I talked to pat and was like listen you've been giving us free movies, for years, let me do some some free Thank you and so they're basically was a Howard Hughes video.",
11:07,11:07,Jamie Hill," Thank you, it wasn't technically an ad but it might as well have been and that ran on a big screen for a solid two years straight.",
11:15,11:15,Beau Newsome," Just from the beginning, as people are like taking their seats and stuff like that.",
11:19,11:19,Jamie Hill," yep yep big logo up there, so everybody could know like we get a lot of support from them and we want to support them to yeah.",
11:27,11:27,Beau Newsome, yeah I wish we could have maybe done a little bit more.,
11:32,11:32,Beau Newsome, I just we've talked about this in the past interviews of just advertising in general we just didn't have a lot of money for it and we were to spend our advertising dollars and stuff like that.,
11:44,11:44,Jamie Hill," Right and I know like once I became manager of the store I ran into that a lot, I mean that's.",
11:50,11:50,Jamie Hill, What I do is marketing and every avenue that I would offer like let's let's not lose this gem I think it's really vital to keep the store running here are some marketing and advertising ideas free or not and and they weren't really well received very often.,
12:07,12:07,Beau Newsome," Right yeah I know when I think when probably just from working with you, via the kenworthy just working with the kenworthy when I managed the video store and that's probably how we got to know each other.",
12:21,12:21,Jamie Hill, mm hmm yep.,
12:22,12:22,And then.,,
12:24,12:24,Beau Newsome," You were kind of helping us with like Facebook and kind of walking me through it, because I was.",
12:30,12:30,Jamie Hill, yeah.,
12:30,12:30,Beau Newsome," kind of a novice at it, you know and.",
12:33,12:33,Beau Newsome," uh, but I think it was maybe when you started working there before you started working there is when we developed Facebook and instagram and all that stuff.",
12:42,12:42,Jamie Hill," I think the Facebook account, and I think you officially set it up right before.",
12:48,12:48,Jamie Hill, And then I pretty much came in and filled out all the information and then started posting you know four or five six times a week every Tuesday was posting the releases and making sure like this weekend can get this thing that's been on the new release fall for a minute.,
13:04,13:04,Jamie Hill," More i'm get this thing that just dropped, and now you know you can get it cheaper, along with a bunch of other movies so.",
13:11,13:11,Beau Newsome, I saw the cat.,
13:12,13:12,Jamie Hill, That there's one.,
13:15,13:15,Beau Newsome, yeah.,
13:17,13:17,Beau Newsome, That was always that was a big help you know that was.,
13:20,13:20,Beau Newsome, I don't know how many followers we had towards the end but.,
13:24,13:24,Jamie Hill," Not well they think kind of we had it, we had a solid number growing for sure, and then I know after I left the video store they stopped posting and people just started i'm following and yeah it's like not paying attention.",
13:37,13:37,Beau Newsome, But that was always need to be like here's tuesday's new releases.,
13:41,13:41,Beau Newsome," And here's what's dropped off a new releases into the the seven day rental section, you know that was always.",
13:49,13:49,Jamie Hill, And it was also really great um I I had a couple different side gigs when I was there and so.,
13:56,13:56,Jamie Hill, In addition to working full time to kenworthy and full time at the video store I was also teaching at the campus teaching English.,
14:03,14:03,Jamie Hill, And so I would go to classes and tell them like give them an explanation of how to film movies cinema works.,
14:10,14:10,Jamie Hill," And then, at the end I would always be like here's some information about this video store that you may or may not know exists.",
14:17,14:17,Jamie Hill, And so many of them didn't and I always would either give out like a buy one get one free rental.,
14:23,14:23,Jamie Hill," or I would hand out just like I made up some little business cards that had qr codes on them so they could find us on Facebook and those always made our numbers sore and usually like next couple weeks, if you like, a look here, these new people coming through the door.",
14:38,14:38,Beau Newsome, yeah it was it was tough getting students or sometimes it would hit with whatever you tried.,
14:45,14:45,Beau Newsome," And sometimes it wouldn't but, when it hit it was great because.",
14:49,14:49,Beau Newsome, Just had this constant influx of students and how do we get them into our store kind of.,
14:54,14:54,Right.,,
14:55,14:55,Beau Newsome," But we've talked about this, and also as we straddle that line between not having enough new releases, but still having the the library that.",
15:06,15:06,Beau Newsome," Right made Howard Hughes what it is, you know.",
15:09,15:09,Jamie Hill, Right.,
15:09,15:09,Beau Newsome, Like we lost a lot of.,
15:12,15:12,Beau Newsome, college students and other people to Hastings or something when we just didn't have enough titles and the big.,
15:18,15:18,Beau Newsome, pirates of the Caribbean stuff like well it's hard you know you can't buy 10 copies of pirates the Caribbean.,
15:24,15:24,Jamie Hill," And and have that be okay, because you might rent all 10 out one day but odds are you won't and then, once those have been out for a while, what do you do with extra nine.",
15:35,15:35,Beau Newsome, Right.,
15:36,15:36,Beau Newsome," yeah and you know we were starting to sell them, I think that was doing okay for extra copies and stuff but yeah.",
15:43,15:43,Jamie Hill," And I think that was another one of those things to get the students would have known that we had basically new DVDs for sale, I think they.",
15:50,15:50,Jamie Hill," They would have come in for that, because that there's still a lot of like college students are finding their new way they want to be able to like own stuff they've never really had their own copies of things and so.",
16:01,16:01,Jamie Hill, I think that was definitely an opportunity to say come down here and.,
16:05,16:05,Jamie Hill, Right not go too hasty.,
16:08,16:08,Beau Newsome, yeah or if people knew they have late fees or you know a lot of times I would scare people away from the store if they just.,
16:15,16:15,Jamie Hill, thought they have a Ferris.,
16:17,16:17,Beau Newsome, But if they just knew.,
16:17,16:17,Jamie Hill, I heard that a lot.,
16:18,16:18,Jamie Hill, yeah I think I owe you 40 bucks so i'm not gonna come back come back anyway.,
16:23,16:23,Beau Newsome, yeah yeah I did that all the time I was like just come back i'll help you out with late fees to.,
16:29,16:29,Jamie Hill, Get.,
16:29,16:29,Beau Newsome," The printing here, it will be worth it, but.",
16:31,16:31,Jamie Hill, yeah.,
16:32,16:32,Beau Newsome," They never been so some of them, but.",
16:36,16:36,Beau Newsome," So I guess yeah that leads me to so you're working full time to kenworthy and at the ui or part time with you, I.",
16:43,16:43,Jamie Hill, Just part time at the ui.,
16:45,16:45,Beau Newsome, And then you.,
16:46,16:46,Beau Newsome, And then I hired you the video store.,
16:49,16:49,Jamie Hill, mm hmm.,
16:50,16:50,Beau Newsome, kind of a probably part time basis.,
16:52,16:52,Jamie Hill," um I think you had initially it all happened really fast, I think you initially said you needed like two days a week, and then I hadn't even been there for a month, yet or you said Oh, by the way, i'm going to be leaving So what are you doing.",
17:07,17:07,Beau Newsome, Right.,
17:08,17:08,Beau Newsome, Do you want.,
17:09,17:09,Beau Newsome, Do you want to manage the store.,
17:11,17:11,yeah.,,
17:13,17:13,Beau Newsome, and your your game right.,
17:15,17:15,Jamie Hill," yeah I mean like I said, like marketing and the kenworthy it's a great theater but it's also an old business model and it's something that i've been marketing for years and i'm.",
17:26,17:26,Jamie Hill," able to get people in the door, and so it was one of those like oh Let me run with this, I could totally do this okay sure.",
17:32,17:32,Beau Newsome, yeah um do you was there any staff turnover when you took over managing do you Member.,
17:40,17:40,Jamie Hill," And I think a couple two people have left right before I got there right, as I was getting there and I know there was one person that I was not really or it's working with, and she decided to leave pretty much as soon as she found out that I was the manager and she wasn't.",
17:58,17:58,Jamie Hill, OK and.,
18:01,18:01,Jamie Hill," Other than that everybody pretty much stuck around and I did hire one more part time person, but I was really focused on getting the people we had because they were such personalities, to be working more hours.",
18:17,18:17,Jamie Hill," As opposed to having more humans, so I thought that we might be beneficial to like focus payroll on paying a couple people really you know fairly rather than paying a bunch of people a little bit.",
18:30,18:30,Beau Newsome, yeah that's good and i'm just probably i'm sure Ben and hardcastle and Ian or two of them.,
18:37,18:37,Beau Newsome, yeah we're there.,
18:39,18:39,Beau Newsome, When I left and you took over yeah.,
18:42,18:42,yep.,,
18:43,18:43,Beau Newsome, yeah we've all been he's been there for.,
18:47,18:47,Beau Newsome, forever forever yeah.,
18:49,18:49,Jamie Hill, It was one of those that I was like.,
18:51,18:51,Jamie Hill," he's the perfect person he could be working here, you know even just opening five days a week, and we can really utilize that knowledge and that history so let's reward that.",
19:02,19:02,Beau Newsome," I think, other than me he's got the long like he's waste past me as far as like 10 years at the store.",
19:11,19:11,Jamie Hill," yeah that wouldn't surprise me, but.",
19:15,19:15,Beau Newsome, But he I don't think he really cared to manage ever and he just wanted to.,
19:21,19:21,Jamie Hill," know, but every time I would say hey I you know i'm working on this thing this week, but i've got these other regular store DVDs that are like manager duties he'd be like Oh, I can do that yep no problem.",
19:31,19:31,Beau Newsome, Let me do it yeah yeah.,
19:33,19:33,Jamie Hill, He goes just the title.,
19:36,19:36,Beau Newsome, um so I guess.,
19:39,19:39,Beau Newsome, pros and cons about managing the video star let's.,
19:43,19:43,Jamie Hill, let's go.,
19:44,19:44,Beau Newsome, let's go pros first what were some of the.,
19:47,19:47,Jamie Hill, Free movie Rentals.,
19:49,19:49,Jamie Hill, So that was a rent.,
19:51,19:51,Beau Newsome, Before you started working there like when you're working at the camera they were you still coming in and renting.,
19:56,19:56,Jamie Hill," I was um I was renting a lot still and the kenworthy was often renting and so, if the kenworthy got something I would usually take it home, knowing that we had five days and i'd watch it I took it back.",
20:09,20:09,Jamie Hill," Alright, so yeah I I was renting a lot and but that grew exponentially were at the store plus you I mean you would see stuff that you were like what is this thing i've never heard of.",
20:22,20:22,Jamie Hill," Though this isn't even real, I have to watch it and you never wanted to put it on the in the store because you didn't know what you were going to find it.",
20:30,20:30,Jamie Hill," Right uh I do remember putting on a French film, because I would like didn't want to think or focus and then like listening to it, I was like they're swearing so much and looked up and there weren't any subtitles on thinking is like was just a stream of swearing was like.",
20:46,20:46,Jamie Hill," Okay, no more testing in store.",
20:48,20:48,Beau Newsome, yeah then it's you're just like senses are on alert when you throw something in.,
20:54,20:54,Beau Newsome, Like.,
20:54,20:54,Beau Newsome, Somebody will say shit and you'll be like.,
20:57,20:57,Jamie Hill," Oh, my God.",
20:58,20:58,Beau Newsome, I gotta turn that off where the.,
20:59,20:59,Jamie Hill, Where the kid here.,
21:00,21:00,Beau Newsome, There were the kids.,
21:03,21:03,Jamie Hill," weird because I remember thinking like walking into being, like, why are they always watching the same like four shows all the time and then after a while I was like well all I want to do is put 30 rock on.",
21:14,21:14,Jamie Hill, Right is that safe.,
21:15,21:15,Beau Newsome," Because you know yeah I have like my run of movies, that you would just constantly over and over and over again.",
21:22,21:22,Beau Newsome, And if there was a swear word you knew exactly where it was.,
21:26,21:26,Jamie Hill, Just conveniently just skip the next scene.,
21:29,21:29,Beau Newsome, Did you have some favorite stuff that you watched a lot in there.,
21:32,21:32,Jamie Hill, um I had a couple like we play a lot of like 30 rock parks and REC and arrested development because I knew I could just put those on and not I wouldn't get too distracted but I knew they were relatively safe and I also really love Disney so I put a lot of Disney shows on.,
21:50,21:50,Jamie Hill, And like really old school musicals like seeing the rain.,
21:56,21:56,Jamie Hill, I also found that Joseph and the amazing technicolor dreamcoat with donny osmond is the exact amount of time it would take from the time I showed up on Tuesday like processed in all of our new arrivals and unlock the door it's like that was exactly the length of the movie.,
22:14,22:14,Jamie Hill," Oh, and so, like every Tuesday i'd throw in just an amazing technicolor dreamcoat because I would know by where we were in the movie how much time I had until open every time.",
22:24,22:24,Jamie Hill," It was really, really convenient.",
22:26,22:26,Beau Newsome," That is that's nice people I remember doing that it had been a while, since i've close the store but you'd be like all right, I got two hours, I know exactly which.",
22:36,22:36,yeah.,,
22:37,22:37,Jamie Hill," yeah yeah for that, like the one you were thinking about you.",
22:41,22:41,Jamie Hill, Put in lock the door pop that in do like week we deposits or whatever.,
22:46,22:46,Beau Newsome, yeah yeah.,
22:47,22:47,Jamie Hill, Have a plan yeah.,
22:49,22:49,Beau Newsome, i'm free Rentals were pro.,
22:53,22:53,yep.,,
22:54,22:54,Jamie Hill," It was a pro because it helped me to both job, so I got to kind of research films that I hadn't been able to see or, especially with new releases I got a pretty focused window of movies, that I want to watch, but having to see some of the other stuff really just helps for work.",
23:15,23:15,Jamie Hill, and doing research for what we were going to show down the line.,
23:18,23:18,Jamie Hill, and obviously the people like there was a there's a very solid group of regulars that come into the store.,
23:25,23:25,Jamie Hill, And I really enjoyed getting to know some of them and their habits and.,
23:32,23:32,Jamie Hill," Not only just regulars but, like the random people feel.",
23:36,23:36,Jamie Hill," That you would get people come in and and either say Oh, this is just like my hometown theater or oh my gosh like this is the coolest place i've ever seen or Oh, I heard you were here and i'm looking for this one movie probably don't have it, but, and we did.",
23:52,23:52,Beau Newsome, yeah we got it.,
23:53,23:53,yeah.,,
23:56,23:56,Beau Newsome," yeah that's one thing to i'll probably ask it towards the end of the interview is, if you can.",
24:03,24:03,Beau Newsome," yeah if you know of anybody that you can recommend that we interview some customers, or something popped in your head just let me know and i'll jot them down I don't we're not going to be able to get to everybody.",
24:17,24:17,Jamie Hill," Obviously, but.",
24:20,24:20,Beau Newsome, it's nice it's nice to just.,
24:23,24:23,Beau Newsome, interview customers to you know just.,
24:25,24:25,Beau Newsome," Sure, get their take on it.",
24:29,24:29,Beau Newsome, And one thing to the kenworthy gave us posters.,
24:33,24:33,Jamie Hill," Yes, yes.",
24:35,24:35,Beau Newsome, That was a little nervous.,
24:36,24:36,Jamie Hill, Do you need a mortal kombat poster because i've got seven of them right.,
24:40,24:40,Beau Newsome," But just sort of my co workers, probably do.",
24:43,24:43,Jamie Hill," Oh, my gosh the studios and decided to start shipping posters again, and so they just force ship stuff and I think yeah I think right now we have seven mortal kombat monsters.",
24:53,24:53,Jamie Hill, So I don't know why they just keep showing up every week.,
24:55,24:55,Beau Newsome, And there's nothing you can do with them you can't like so.,
24:58,24:58,Jamie Hill, Ellen that's illegal right.,
25:00,25:00,Jamie Hill, So we can give them away.,
25:03,25:03,Beau Newsome," Sure yeah that was that was cool because that helped us, you know cuz you guys would get movies, you know months before we.",
25:12,25:12,Beau Newsome," yeah we're five six months or whatever, so we just build a display him put the little coming soon day.",
25:20,25:20,Beau Newsome, Happy people wouldn't read maybe like can I rent a copy of mortal kombat you're like.,
25:24,25:24,Beau Newsome, Oh yeah.,
25:25,25:25,Jamie Hill," Or we would bring it like the weekend after we finished playing it, it was like oh you missed it this weekend well don't worry you still have a chance go though renta it will be here.",
25:35,25:35,Beau Newsome, yeah yeah yeah I thought that was really cool and plus you guys the kenworthy.,
25:41,25:41,Beau Newsome, You know you didn't get the mainstream sometimes he would do mainstream stuff just.,
25:45,25:45,Beau Newsome," Right, but it was it was awesome to have a theater that.",
25:49,25:49,Beau Newsome," Was as eclectic is Howard Hughes, you know.",
25:53,25:53,Jamie Hill, yeah yeah.,
25:55,25:55,Beau Newsome, And plus you would do a lot of old releases to write your rent out theater.,
26:00,26:00,Jamie Hill, Oh yeah we're always available for Rentals so and that's actually what we've been doing during the pandemic just I think private rental so essentially a bigger version of your living room show up eating popcorn and watch a movie do whatever you want.,
26:15,26:15,Jamie Hill, Was I.,
26:16,26:16,Jamie Hill," watched the sound of music I think we've shown that twice if we were to show it publicly to the city of basco it would cost us over $1,000 for licensing just for permission to show it, but if you want to watch it in your living room nobody stopping you so.",
26:32,26:32,Jamie Hill, been kind of fun.,
26:33,26:33,Beau Newsome," Oh, so you can just throw it on.",
26:36,26:36,Jamie Hill, Whatever you want.,
26:39,26:39,Beau Newsome, um so as far as like ordering movies from the video for the video store Do you remember your process of doing that.,
26:49,26:49,Jamie Hill," I would usually look I I had a pretty solid process so um I had a running list of stuff that people would come in and say when is the showing up, I was looking at and then write down the dates, or it.",
27:03,27:03,Jamie Hill, Definitely consulted box office mojo a lot.,
27:07,27:07,Jamie Hill," And we look at what gross really well in the theaters because first of all in a theater people are gonna be like Oh well, now I need to see this at home.",
27:17,27:17,Jamie Hill," um and then on the flip side, like the stuff that I knew about from the kenworthy that was indie stuff coming out that we hadn't shown, but I knew people had asked about I would order a copy of that and those went almost just as well as the big you know 10 all Hollywood blockbusters.",
27:32,27:32,Beau Newsome, mm hmm.,
27:33,27:33,Jamie Hill, Because it was like I knew people were looking for it and they knew they were used to get it.,
27:38,27:38,Beau Newsome, yeah That was a good gauge for us to remember is like.,
27:42,27:42,Beau Newsome," Not only if you guys got big blockbusters but the indie movies, you know be like okay well can where they got it.",
27:49,27:49,Beau Newsome, Sometimes I get information from you.,
27:51,27:51,Beau Newsome, and be like how to do.,
27:53,27:53,Jamie Hill, yep.,
27:54,27:54,Jamie Hill," But you like Okay, I remember.",
